sub_id,trial,img,illum,body,highlow,mean_l,mean_a,mean_b,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
01,1,1,white,blue,1,32.4590364,-18.8805752,-6.1860251,38.7639900,-21.6944301,-6.4896084,0.1582716,0.2006967,0.2229258,0.1582837,0.2006546,0.2228226,0.6172,-0.32467,0.53183,-0.28209,0.24552,-0.80945,-0.096157,0.10852,34.5429,-11.0543,-14.0005,0.0016992,0.018438,0.018746,0.016511,0.013447,0.013051,0.010425,0.23702,0.27759,0.35579,0.52754,0.61283,0.78677,90.1332,-9.664,-8.5708
01,2,1,white,blue,1,39.3159559,-29.2686761,-5.7823645,46.5165888,-33.5060958,-5.9668375,0.2310519,0.3051504,0.3189038,0.2312057,0.3052985,0.3187827,0.6172,-0.32467,0.53183,-0.28209,0.24552,-0.80945,-0.096157,0.10852,34.5429,-11.0543,-14.0005,0.0016992,0.018438,0.018746,0.016511,0.013447,0.013051,0.010425,0.23702,0.27759,0.35579,0.52754,0.61283,0.78677,90.1332,-9.664,-8.5708
01,3,1,white,blue,1,38.3450085,-16.1712388,-6.8222407,45.4150580,-18.6551513,-7.1477090,0.2264611,0.2774620,0.3134907,0.2264582,0.2773640,0.3133040,0.6172,-0.32467,0.53183,-0.28209,0.24552,-0.80945,-0.096157,0.10852,34.5429,-11.0543,-14.0005,0.0016992,0.018438,0.018746,0.016511,0.013447,0.013051,0.010425,0.23702,0.27759,0.35579,0.52754,0.61283,0.78677,90.1332,-9.664,-8.5708
01,4,1,white,blue,1,42.5307057,-15.2256892,-3.8391617,50.1456321,-17.5772704,-3.7545533,0.2859203,0.3389515,0.3543941,0.2859720,0.3389670,0.3541913,0.6172,-0.32467,0.53183,-0.28209,0.24552,-0.80945,-0.096157,0.10852,34.5429,-11.0543,-14.0005,0.0016992,0.018438,0.018746,0.016511,0.013447,0.013051,0.010425,0.23702,0.27759,0.35579,0.52754,0.61283,0.78677,90.1332,-9.664,-8.5708
01,5,1,white,blue,1,27.5547770,-17.2258376,-5.8837337,33.2218266,-19.7944341,-6.1940059,0.1147454,0.1461532,0.1638392,0.1147661,0.1461329,0.1637380,0.6172,-0.32467,0.53183,-0.28209,0.24552,-0.80945,-0.096157,0.10852,34.5429,-11.0543,-14.0005,0.0016992,0.018438,0.018746,0.016511,0.013447,0.013051,0.010425,0.23702,0.27759,0.35579,0.52754,0.61283,0.78677,90.1332,-9.664,-8.5708
01,1,2,white,blue,0,73.0480448,-17.1897575,-8.1860441,84.6314074,-19.9916045,-8.3504147,1.0156807,1.1823353,1.3052318,1.0156139,1.1819436,1.3043745,0.24101,-0.33898,0.52435,-0.39964,0.34652,-0.58637,-0.28526,0.30833,51.522,-20.6719,-22.3012,0.000942,0.039155,0.042323,0.039666,0.01484,0.015755,0.014378,0.6147,0.73674,0.94003,0.75175,0.97409,1.4221,89.9602,-13.8977,-11.919
01,2,2,white,blue,0,81.3327400,-27.6449839,-7.3552860,93.9975289,-31.8779022,-7.3340962,1.3089174,1.5707390,1.6572673,1.3091852,1.5708288,1.6564572,0.24101,-0.33898,0.52435,-0.39964,0.34652,-0.58637,-0.28526,0.30833,51.522,-20.6719,-22.3012,0.000942,0.039155,0.042323,0.039666,0.01484,0.015755,0.014378,0.6147,0.73674,0.94003,0.75175,0.97409,1.4221,89.9602,-13.8977,-11.919
01,3,2,white,blue,0,65.2360079,-45.3316905,-6.1561904,75.8125705,-51.8422598,-6.1354480,0.7304893,0.9655422,0.9623306,0.7310651,0.9662223,0.9620868,0.24101,-0.33898,0.52435,-0.39964,0.34652,-0.58637,-0.28526,0.30833,51.522,-20.6719,-22.3012,0.000942,0.039155,0.042323,0.039666,0.01484,0.015755,0.014378,0.6147,0.73674,0.94003,0.75175,0.97409,1.4221,89.9602,-13.8977,-11.919
01,1,3,white,green,1,25.9275633,-21.5382120,-4.5416198,31.3859896,-24.6681733,-4.6996033,0.1008058,0.1326094,0.1397581,0.1008560,0.1326514,0.1396991,0.53209,-0.34769,0.51647,-0.41403,-0.034084,-0.85355,-0.10668,-0.002021,29.443,-33.7707,0.29131,0.0035886,0.013516,0.014842,0.0081553,0.012272,0.012688,0.0071073,0.16998,0.21499,0.17835,0.4572,0.56532,0.4779,89.7774,-24.7375,1.2636
01,2,3,white,green,1,33.4740397,-20.6227290,-2.2674592,39.9150340,-23.6427847,-2.0730124,0.1688197,0.2108263,0.2067099,0.1689462,0.2109902,0.2066792,0.53209,-0.34769,0.51647,-0.41403,-0.034084,-0.85355,-0.10668,-0.002021,29.443,-33.7707,0.29131,0.0035886,0.013516,0.014842,0.0081553,0.012272,0.012688,0.0071073,0.16998,0.21499,0.17835,0.4572,0.56532,0.4779,89.7774,-24.7375,1.2636
01,3,3,white,green,1,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.53209,-0.34769,0.51647,-0.41403,-0.034084,-0.85355,-0.10668,-0.002021,29.443,-33.7707,0.29131,0.0035886,0.013516,0.014842,0.0081553,0.012272,0.012688,0.0071073,0.16998,0.21499,0.17835,0.4572,0.56532,0.4779,89.7774,-24.7375,1.2636
01,4,3,white,green,1,28.1619469,-14.7791576,6.0475346,33.9156864,-16.9276332,7.2187760,0.1230529,0.1419983,0.1054503,0.1232483,0.1423244,0.1055746,0.53209,-0.34769,0.51647,-0.41403,-0.034084,-0.85355,-0.10668,-0.002021,29.443,-33.7707,0.29131,0.0035886,0.013516,0.014842,0.0081553,0.012272,0.012688,0.0071073,0.16998,0.21499,0.17835,0.4572,0.56532,0.4779,89.7774,-24.7375,1.2636
01,5,3,white,green,1,25.0796835,-14.0430545,3.6193248,30.4318738,-16.0869079,4.4621252,0.0986435,0.1155418,0.0931202,0.0987846,0.1157561,0.0932237,0.53209,-0.34769,0.51647,-0.41403,-0.034084,-0.85355,-0.10668,-0.002021,29.443,-33.7707,0.29131,0.0035886,0.013516,0.014842,0.0081553,0.012272,0.012688,0.0071073,0.16998,0.21499,0.17835,0.4572,0.56532,0.4779,89.7774,-24.7375,1.2636
01,1,4,white,green,0,56.3593661,-32.0852127,6.8050330,65.7873028,-36.6688745,8.3483150,0.5311954,0.6446161,0.5028679,0.5319947,0.6459112,0.5032291,0.31542,-0.3592,0.50341,-0.53981,-0.044627,-0.66309,-0.30658,-0.041491,46.658,-60.5949,4.2051,0.0026488,0.030171,0.035234,0.016789,0.014836,0.016705,0.0078759,0.44896,0.57977,0.4311,0.65576,0.91949,0.62504,89.4729,-33.0619,1.6677
01,2,4,white,green,0,47.9826802,-29.4061488,3.3003751,56.3172747,-33.6165657,4.3280220,0.3653707,0.4508149,0.3760680,0.3658599,0.4515696,0.3762289,0.31542,-0.3592,0.50341,-0.53981,-0.044627,-0.66309,-0.30658,-0.041491,46.658,-60.5949,4.2051,0.0026488,0.030171,0.035234,0.016789,0.014836,0.016705,0.0078759,0.44896,0.57977,0.4311,0.65576,0.91949,0.62504,89.4729,-33.0619,1.6677
01,3,4,white,green,0,59.6360141,-33.8781099,6.8594670,69.4912694,-38.7197432,8.4421185,0.6061478,0.7373637,0.5779270,0.6070587,0.7388515,0.5783253,0.31542,-0.3592,0.50341,-0.53981,-0.044627,-0.66309,-0.30658,-0.041491,46.658,-60.5949,4.2051,0.0026488,0.030171,0.035234,0.016789,0.014836,0.016705,0.0078759,0.44896,0.57977,0.4311,0.65576,0.91949,0.62504,89.4729,-33.0619,1.6677
01,4,4,white,green,0,57.8853899,-30.2475617,9.4479057,67.5142524,-34.5755047,11.3339408,0.5695418,0.6771015,0.5021968,0.5704904,0.6786454,0.5026888,0.31542,-0.3592,0.50341,-0.53981,-0.044627,-0.66309,-0.30658,-0.041491,46.658,-60.5949,4.2051,0.0026488,0.030171,0.035234,0.016789,0.014836,0.016705,0.0078759,0.44896,0.57977,0.4311,0.65576,0.91949,0.62504,89.4729,-33.0619,1.6677
01,5,4,white,green,0,49.0845239,-26.0315701,9.9080937,57.5668301,-29.7507157,11.7659147,0.3904032,0.4598479,0.3274838,0.3910751,0.4609639,0.3278378,0.31542,-0.3592,0.50341,-0.53981,-0.044627,-0.66309,-0.30658,-0.041491,46.658,-60.5949,4.2051,0.0026488,0.030171,0.035234,0.016789,0.014836,0.016705,0.0078759,0.44896,0.57977,0.4311,0.65576,0.91949,0.62504,89.4729,-33.0619,1.6677
01,1,5,white,red,1,36.1720812,19.9762935,11.9173570,42.9598711,22.4168661,13.8903804,0.2302404,0.1852625,0.1462302,0.2303036,0.1854261,0.1462887,-0.53638,-0.233,0.5886,0.42873,-0.16921,-0.78632,0.13539,-0.046997,36.5843,21.1756,6.955,0.0017124,0.023589,0.015978,0.0096732,0.016443,0.011837,0.0072474,0.2977,0.24035,0.21888,0.66259,0.54059,0.49998,91.4286,18.0535,6.2482
01,2,5,white,red,1,45.3598517,21.6469024,14.6022208,53.3432453,24.2776922,16.9967833,0.3726341,0.3043741,0.2331842,0.3727723,0.3046954,0.2333354,-0.53638,-0.233,0.5886,0.42873,-0.16921,-0.78632,0.13539,-0.046997,36.5843,21.1756,6.955,0.0017124,0.023589,0.015978,0.0096732,0.016443,0.011837,0.0072474,0.2977,0.24035,0.21888,0.66259,0.54059,0.49998,91.4286,18.0535,6.2482
01,3,5,white,red,1,42.1820385,22.9048575,14.1791782,49.7519047,25.7095768,16.4920900,0.3201911,0.2550357,0.1965896,0.3202870,0.2552851,0.1966354,-0.53638,-0.233,0.5886,0.42873,-0.16921,-0.78632,0.13539,-0.046997,36.5843,21.1756,6.955,0.0017124,0.023589,0.015978,0.0096732,0.016443,0.011837,0.0072474,0.2977,0.24035,0.21888,0.66259,0.54059,0.49998,91.4286,18.0535,6.2482
01,4,5,white,red,1,37.2143129,20.7724707,14.9879555,44.1381786,23.3254944,17.3507010,0.2452327,0.1939098,0.1389474,0.2453190,0.1941494,0.1390603,-0.53638,-0.233,0.5886,0.42873,-0.16921,-0.78632,0.13539,-0.046997,36.5843,21.1756,6.955,0.0017124,0.023589,0.015978,0.0096732,0.016443,0.011837,0.0072474,0.2977,0.24035,0.21888,0.66259,0.54059,0.49998,91.4286,18.0535,6.2482
01,5,5,white,red,1,38.3405820,21.8838602,14.3303618,45.4103841,24.5724604,16.6228597,0.2615370,0.2061850,0.1536777,0.2616232,0.2064156,0.1537997,-0.53638,-0.233,0.5886,0.42873,-0.16921,-0.78632,0.13539,-0.046997,36.5843,21.1756,6.955,0.0017124,0.023589,0.015978,0.0096732,0.016443,0.011837,0.0072474,0.2977,0.24035,0.21888,0.66259,0.54059,0.49998,91.4286,18.0535,6.2482
01,1,6,white,red,0,66.2845135,32.6685731,22.6166576,76.9906062,36.6841783,26.2044538,0.9075288,0.7159404,0.5211893,0.9078157,0.7167484,0.5215203,-0.25587,-0.21711,0.57879,0.43893,-0.17298,-0.50737,0.42511,-0.18578,55.6274,35.2398,16.5539,0.0003733,0.055737,0.034494,0.018242,0.020315,0.013165,0.0073013,0.82234,0.63828,0.52016,1.0761,0.77314,0.63268,91.2068,18.5448,6.42
01,2,6,white,red,0,67.7344420,33.1635088,23.3059098,78.6295154,37.2383898,26.9934911,0.9563247,0.7542360,0.5452125,0.9566607,0.7551254,0.5455501,-0.25587,-0.21711,0.57879,0.43893,-0.17298,-0.50737,0.42511,-0.18578,55.6274,35.2398,16.5539,0.0003733,0.055737,0.034494,0.018242,0.020315,0.013165,0.0073013,0.82234,0.63828,0.52016,1.0761,0.77314,0.63268,91.2068,18.5448,6.42
01,3,6,white,red,0,64.0689474,33.5645038,14.5398445,74.4818571,37.6762991,17.1043608,0.8360826,0.6666575,0.5809109,0.8359879,0.6667780,0.5808265,-0.25587,-0.21711,0.57879,0.43893,-0.17298,-0.50737,0.42511,-0.18578,55.6274,35.2398,16.5539,0.0003733,0.055737,0.034494,0.018242,0.020315,0.013165,0.0073013,0.82234,0.63828,0.52016,1.0761,0.77314,0.63268,91.2068,18.5448,6.42
